PC,1,2,3,4,5,6,7,8,9,10,11,12
Telkwa,1.404315055,0.284109879,0.7108014,0.84773383,0.354465117,0.526314821,0.1865795,0.469122634,0.447597867,0.251602593,-0.010166391,-0.035465698
Terrace,1.71083943,0.737231298,0.934649328,1.117183402,0.625614284,0.593506984,0.436619214,0.760624509,0.338867154,0.316003426,0.283814335,0.4062247
Tofino,1.20880118,1.148851407,1.511699539,1.214968981,0.889526174,0.895105473,0.550631383,0.822897246,0.697210651,1.122114061,0.878383646,0.519026701
Trail - Fruitvale,1.683598322,1.463126404,2.581007397,2.223481112,2.125664038,1.620085539,2.114031107,2.271889692,1.905730051,1.371254646,1.21798372,0.670272062
Tsawwassen,0.475286514,0.022847242,0.242834757,0.023424646,0.186231798,0.263536476,0.203892023,0.241140778,0.261517588,-0.119816172,-0.341328423,-0.526596424
Tumbler Ridge,2.07006571,0.478219385,1.374741446,0.759610154,0.204781423,0.386184824,0.530878401,0.756177626,0.434454879,-0.365126442,-0.297484292,-0.169168839
Ucluelet,0.99943137,0.888915866,1.289562669,0.932477979,0.432821364,0.245357374,-0.048980391,0.241963357,0.313594782,0.699584952,0.582737935,0.212042481
Vancouver - Coastal,0.550017981,0.156502702,0.458770371,0.214671171,0.264960373,0.411118073,0.304617186,0.434601513,0.381396266,0.035917705,-0.283914412,-0.372590318
Vancouver - Inland,0.699306704,0.32877925,0.555570084,0.324370208,0.280800253,0.43575927,0.388686508,0.540770148,0.390993203,0.055322558,-0.206965031,-0.323141489
Vancouver - NorthShore,1.506411404,1.240373935,1.567473412,1.245422229,1.097919686,1.222280108,0.876013463,1.042187726,0.941862863,0.863762038,0.809678747,0.696728821
Vanderhoof,2.081001039,0.604570297,1.066106042,1.016596734,0.848569901,0.676760811,0.695377514,1.153185044,1.057478726,0.288647099,0.126740808,0.275488932
Vernon,1.605618971,0.808046489,1.562675371,1.167903529,1.351815426,1.372824623,1.568279869,1.438861453,1.267627123,0.628308957,0.639774083,0.087718535
Victoria,0.829235226,0.351441156,0.556095934,0.293829412,0.387233782,0.406390104,0.223077072,0.237325521,0.359212028,0.201332173,0.018862007,-0.102061235
Welcome Beach,0.619002685,0.307371412,0.779949673,0.611824912,-0.563632556,0.250800555,-0.065137395,0.145390151,0.2585495,0.221969966,0.055613412,-0.118187839
Whistler,1.52209126,1.354860992,2.000747608,1.612587919,1.07633621,1.243110651,1.310109659,1.522299207,1.388523392,0.841984841,0.34657472,0.325770976
White Rock,0.373042888,-0.10638669,0.13305604,-0.027684599,0.126457388,0.292771282,0.281161273,0.300594342,0.2229232,-0.170167432,-0.556053851,-0.691406585
Williams Lake,1.467563506,0.625865454,1.394337646,1.153681521,0.938034433,1.088240264,1.008687435,1.359520983,0.960781097,0.463709461,0.390191988,-0.121777956
Yarrow,1.414554122,0.792531866,0.801114978,0.798563059,0.800450936,0.817494929,0.667854836,0.723074454,0.751162132,0.555403422,0.203209106,0.227286789
